"","PROBEID","SYMBOL","ENTREZID","ENSEMBL","GENENAME"
"520","1420764_at","Scrg1","20284","ENSMUSG00000031610","scrapie responsive gene 1"
"521","1425837_a_at","Noct","12457","ENSMUSG00000023087","nocturnin"
"522","1434394_at","N4bp2","333789","ENSMUSG00000037795","NEDD4 binding protein 2"
"523","1424489_a_at","Trit1","66966","ENSMUSG00000028653","tRNA isopentenyltransferase 1"
"524","1423411_at","Rbm47","245945","ENSMUSG00000070780","RNA binding motif protein 47"
"525","1454734_at","Lef1","16842","ENSMUSG00000027985","lymphoid enhancer binding factor 1"
"526","1417582_s_at","Dhodh","56749","ENSMUSG00000031730","dihydroorotate dehydrogenase"
"527","1451601_a_at","Spns2","216892","ENSMUSG00000040447","SPNS lysolipid transporter 2, sphingosine-1-phosphate"
"528","1420342_at","Gdap10","100504486",NA,"ganglioside-induced differentiation-associated-protein 10"
"529","1428090_at","Ptcd3","69956","ENSMUSG00000063884","pentatricopeptide repeat domain 3"
"530","1416814_at","Tia1","21841","ENSMUSG00000071337","cytotoxic granule-associated RNA binding protein 1"
"531","1424256_at","Rdh12","77974","ENSMUSG00000021123","retinol dehydrogenase 12"
"532","1427670_a_at","Tcf12","21406","ENSMUSG00000032228","transcription factor 12"
"533","1451965_at","LOC672450","672450",NA,"V(kappa) gene product"
"534","1454850_at","Tbc1d10c","108995","ENSMUSG00000040247","TBC1 domain family, member 10c"
"535","1416021_a_at","Fabp5","16592","ENSMUSG00000027533","fatty acid binding protein 5, epidermal"
"536","1418580_at","Rtp4","67775","ENSMUSG00000033355","receptor transporter protein 4"
"537","1419186_a_at","St8sia4","20452","ENSMUSG00000040710","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4"
"538","1451673_at","Cd8a","12525","ENSMUSG00000053977","CD8 subunit alpha"
"539","1448948_at","Slc50a1","19729","ENSMUSG00000027953","solute carrier family 50 (sugar transporter), member 1"
"540","1448620_at","Fcgr3","14131","ENSMUSG00000059498","Fc receptor, IgG, low affinity III"
"541","1449976_a_at","Gpr35","64095","ENSMUSG00000026271","G protein-coupled receptor 35"
"542","1442465_s_at","Strbp","20744","ENSMUSG00000026915","spermatid perinuclear RNA binding protein"
"543","1419691_at","Camp","12796","ENSMUSG00000038357","cathelicidin antimicrobial peptide"
"544","1451079_at","Adpgk","72141","ENSMUSG00000025236","ADP-dependent glucokinase"
"545","1435068_at","Pip4k2b","108083","ENSMUSG00000018547","phosphatidylinositol-5-phosphate 4-kinase, type II, beta"
"546","1437993_x_at","Qdpr","110391","ENSMUSG00000015806","quinoid dihydropteridine reductase"
"547","1423571_at","S1pr1","13609","ENSMUSG00000045092","sphingosine-1-phosphate receptor 1"
"548","1451426_at","Dhx58","80861","ENSMUSG00000017830","DExH-box helicase 58"
"549","1424067_at","Icam1","15894","ENSMUSG00000037405","intercellular adhesion molecule 1"
"550","1426640_s_at","Trib2","217410","ENSMUSG00000020601","tribbles pseudokinase 2"
"551","1428449_at","Gtf3c2","71752","ENSMUSG00000106864","general transcription factor IIIC, polypeptide 2, beta"
"552","1449222_at","Ebi3","50498","ENSMUSG00000003206","Epstein-Barr virus induced gene 3"
"553","1434836_at","Nfatc2ip","18020","ENSMUSG00000030722","nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2 interacting protein"
"554","1456765_at","Nhsl2","100042480","ENSMUSG00000079481","NHS-like 2"
"555","1425628_a_at","Gtf2i","14886","ENSMUSG00000060261","general transcription factor II I"
"556","1456261_at","Sh3kbp1","58194","ENSMUSG00000040990","SH3-domain kinase binding protein 1"
"557","1454650_at","Trim35","66854","ENSMUSG00000022043","tripartite motif-containing 35"
"558","1416775_at","Dmac2","66349","ENSMUSG00000057229","distal membrane arm assembly complex 2"
"559","1454923_at","Iws1","73473","ENSMUSG00000024384","IWS1, SUPT6 interacting protein"
"560","1430878_at","2210406H18Rik","70133",NA,"RIKEN cDNA 2210406H18 gene"
"561","1452431_s_at","H2-Aa","14960","ENSMUSG00000036594","histocompatibility 2, class II antigen A, alpha"
"562","1450234_at","Ms4a6c","73656","ENSMUSG00000079419","membrane-spanning 4-domains, subfamily A, member 6C"
"563","1429782_at","Grcc10","14790","ENSMUSG00000072772","gene rich cluster, C10 gene"
"564","1452897_at","Cdk13","69562","ENSMUSG00000041297","cyclin dependent kinase 13"
"565","1459800_s_at","Map3k4","26407","ENSMUSG00000014426","mitogen-activated protein kinase kinase kinase 4"
"566","1426440_at","Dhrs7","66375","ENSMUSG00000021094","dehydrogenase/reductase 7"
"567","1418890_a_at","Rab3d","19340","ENSMUSG00000019066","RAB3D, member RAS oncogene family"
"568","1427050_at","Txndc16","70561","ENSMUSG00000021830","thioredoxin domain containing 16"
"569","1432492_a_at","Haao","107766","ENSMUSG00000000673","3-hydroxyanthranilate 3,4-dioxygenase"
"570","1417126_a_at","Rpl22l1","68028","ENSMUSG00000039221","ribosomal protein L22 like 1"
"571","1454826_at","Zbtb11","271377","ENSMUSG00000022601","zinc finger and BTB domain containing 11"
"572","1424176_a_at","Anxa4","11746","ENSMUSG00000029994","annexin A4"
"573","1455189_at","Trim33","94093","ENSMUSG00000033014","tripartite motif-containing 33"
"574","1416735_at","Asah1","11886","ENSMUSG00000031591","N-acylsphingosine amidohydrolase 1"
"575","1454268_a_at","Cyba","13057","ENSMUSG00000006519","cytochrome b-245, alpha polypeptide"
"576","1416930_at","Ly6d","17068","ENSMUSG00000034634","lymphocyte antigen 6 family member D"
"577","1455945_at","Zfp58","238693","ENSMUSG00000071291","zinc finger protein 58"
"578","1451525_at","Arhgap12","75415","ENSMUSG00000041225","Rho GTPase activating protein 12"
"579","1427197_at","Atr","245000","ENSMUSG00000032409","ataxia telangiectasia and Rad3 related"
"580","1455345_at","Jade2","76901","ENSMUSG00000020387","jade family PHD finger 2"
"581","1448407_at","Vsir","74048","ENSMUSG00000020101","V-set immunoregulatory receptor"
"582","1424632_a_at","Rev3l","19714","ENSMUSG00000019841","REV3 like, DNA directed polymerase zeta catalytic subunit"
"583","1452868_at","Usp24","329908","ENSMUSG00000028514","ubiquitin specific peptidase 24"
"584","1456446_at","4930523C07Rik","67647","ENSMUSG00000090394","RIKEN cDNA 4930523C07 gene"
"585","1437870_at","Slco4c1","227394","ENSMUSG00000040693","solute carrier organic anion transporter family, member 4C1"
"586","1448886_at","Gata3","14462","ENSMUSG00000015619","GATA binding protein 3"
"587","1456479_at","Snx30","209131","ENSMUSG00000028385","sorting nexin family member 30"
"588","1430447_a_at","Lair1","52855","ENSMUSG00000055541","leukocyte-associated Ig-like receptor 1"
"589","1422892_s_at","H2-Ea","100504404","ENSMUSG00000036322","histocompatibility 2, class II antigen E alpha"
"590","1426536_at","Ice2","93697","ENSMUSG00000032235","interactor of little elongation complex ELL subunit 2"
"591","1428947_at","Mzb1","69816","ENSMUSG00000024353","marginal zone B and B1 cell-specific protein 1"
"592","1440284_at","Stap1","56792","ENSMUSG00000029254","signal transducing adaptor family member 1"
"593","1448376_at","Wrnip1","78903","ENSMUSG00000021400","Werner helicase interacting protein 1"
"594","1427903_at","Phpt1","75454","ENSMUSG00000036504","phosphohistidine phosphatase 1"
"595","1416125_at","Fkbp5","14229","ENSMUSG00000024222","FK506 binding protein 5"
"596","1434873_a_at","Acap1","216859","ENSMUSG00000001588","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
"597","1422828_at","Cd3d","12500","ENSMUSG00000032094","CD3 antigen, delta polypeptide"
"598","1452067_at","Naaa","67111","ENSMUSG00000029413","N-acylethanolamine acid amidase"
"599","1416897_at","Parp9","80285","ENSMUSG00000022906","poly (ADP-ribose) polymerase family, member 9"
"600","1425519_a_at","Cd74","16149","ENSMUSG00000024610","CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)"
"601","1460283_at","Mefv","54483","ENSMUSG00000022534","Mediterranean fever"
"602","1434833_at","Map4k2","26412","ENSMUSG00000024948","mitogen-activated protein kinase kinase kinase kinase 2"
"603","1427208_at","Zfp451","98403","ENSMUSG00000042197","zinc finger protein 451"
"604","1428579_at","Fmnl2","71409","ENSMUSG00000036053","formin-like 2"
"605","1425668_a_at","St3gal4","20443","ENSMUSG00000032038","ST3 beta-galactoside alpha-2,3-sialyltransferase 4"
"606","1452463_x_at","Igk","243469",NA,"immunoglobulin kappa chain complex"
"607","1435343_at","Dock10","210293","ENSMUSG00000038608","dedicator of cytokinesis 10"
"608","1429383_at","Csnk1g3","70425","ENSMUSG00000073563","casein kinase 1, gamma 3"
"609","1417153_at","Nacc2","67991","ENSMUSG00000026932","nucleus accumbens associated 2, BEN and BTB (POZ) domain containing"
"610","1450783_at","Ifit1","15957","ENSMUSG00000034459","interferon-induced protein with tetratricopeptide repeats 1"
"611","1433968_a_at","Megf9","230316","ENSMUSG00000039270","multiple EGF-like-domains 9"
"612","1438442_at","Sike1","66641","ENSMUSG00000027854","suppressor of IKBKE 1"
"613","1424081_at","Pcgf6","71041","ENSMUSG00000025050","polycomb group ring finger 6"
"614","1426113_x_at","Trav9d-3","100038850","ENSMUSG00000095495","T cell receptor alpha variable 9D-3"
"615","1452377_at","Kmt2a","214162","ENSMUSG00000002028","lysine (K)-specific methyltransferase 2A"
"616","1428408_a_at","Esyt2","52635","ENSMUSG00000021171","extended synaptotagmin-like protein 2"
"617","1429570_at","Mlkl","74568","ENSMUSG00000012519","mixed lineage kinase domain-like"
"618","1417364_at","Eef1g","67160","ENSMUSG00000071644","eukaryotic translation elongation factor 1 gamma"
"619","1437025_at","Cd28","12487","ENSMUSG00000026012","CD28 antigen"
"620","1425245_a_at","Rgs11","50782","ENSMUSG00000024186","regulator of G-protein signaling 11"
"621","1435906_x_at","Gbp2","14469","ENSMUSG00000028270","guanylate binding protein 2"
"622","1452197_at","Smc4","70099","ENSMUSG00000034349","structural maintenance of chromosomes 4"
"623","1452483_a_at","Cd44","12505","ENSMUSG00000005087","CD44 antigen"
"624","1420549_at","Gbp2b","14468","ENSMUSG00000040264","guanylate binding protein 2b"
"625","1427860_at","Igkv6-15","108022","ENSMUSG00000094797","immunoglobulin kappa variable 6-15"
"626","1417321_at","Zcchc7","319885","ENSMUSG00000035649","zinc finger, CCHC domain containing 7"
"627","1417114_at","Gmcl1","23885","ENSMUSG00000001157","germ cell-less, spermatogenesis associated 1"
"628","1417384_at","Entpd5","12499","ENSMUSG00000021236","ectonucleoside triphosphate diphosphohydrolase 5"
"629","1418655_at","B4galnt1","14421","ENSMUSG00000006731","beta-1,4-N-acetyl-galactosaminyl transferase 1"
"630","1449163_at","Sigirr","24058","ENSMUSG00000025494","single immunoglobulin and toll-interleukin 1 receptor (TIR) domain"
"631","1460235_at","Scarb2","12492","ENSMUSG00000029426","scavenger receptor class B, member 2"
"632","1435464_at","Smim14","68552","ENSMUSG00000037822","small integral membrane protein 14"
"633","1418131_at","Samhd1","56045","ENSMUSG00000027639","SAM domain and HD domain, 1"
"634","1451576_at","Prkdc","19090","ENSMUSG00000022672","protein kinase, DNA activated, catalytic polypeptide"
"635","1416234_at","Lrrc59","98238","ENSMUSG00000020869","leucine rich repeat containing 59"
"636","1450912_at","Ms4a1","12482","ENSMUSG00000024673","membrane-spanning 4-domains, subfamily A, member 1"
"637","1423608_at","Itm2a","16431","ENSMUSG00000031239","integral membrane protein 2A"
"638","1434404_at","Miga1","215708","ENSMUSG00000054942","mitoguardin 1"
"639","1438969_x_at","Dhx30","72831","ENSMUSG00000032480","DExH-box helicase 30"
"640","1435772_at","Kif21b","16565","ENSMUSG00000041642","kinesin family member 21B"
"641","1455042_at","Tbl1x","21372","ENSMUSG00000025246","transducin (beta)-like 1 X-linked"
"642","1435176_a_at","Id2","15902","ENSMUSG00000020644","inhibitor of DNA binding 2"
"643","1428821_at","Agpat2","67512","ENSMUSG00000026922","1-acylglycerol-3-phosphate O-acyltransferase 2"
"644","1425958_at","Il36g","215257","ENSMUSG00000044103","interleukin 36G"
"645","1433520_at","Scap","235623","ENSMUSG00000032485","SREBF chaperone"
"646","1429072_at","Col6a4","68553","ENSMUSG00000032572","collagen, type VI, alpha 4"
"647","1419687_at","Macrod1","107227","ENSMUSG00000036278","mono-ADP ribosylhydrolase 1"
"648","1419669_at","Prtn3","19152","ENSMUSG00000057729","proteinase 3"
"649","1451523_a_at","Mif4gd","69674","ENSMUSG00000020743","MIF4G domain containing"
"650","1430291_at","Dock5","68813","ENSMUSG00000044447","dedicator of cytokinesis 5"
"651","1428789_at","Ralgps2","78255","ENSMUSG00000026594","Ral GEF with PH domain and SH3 binding motif 2"
"652","1434573_at","Traf3ip3","215243","ENSMUSG00000037318","TRAF3 interacting protein 3"
"653","1417392_a_at","Slc7a7","20540","ENSMUSG00000000958","solute carrier family 7 (cationic amino acid transporter, y+ system), member 7"
"654","1450065_at","Adcy7","11513","ENSMUSG00000031659","adenylate cyclase 7"
"655","1435362_at","Foxj3","230700","ENSMUSG00000032998","forkhead box J3"
"656","1435266_at","Scai","320271","ENSMUSG00000035236","suppressor of cancer cell invasion"
"657","1455370_at","A630023P12Rik","231603","ENSMUSG00000048215","RIKEN cDNA A630023P12 gene"
"658","1433557_at","Cbx7","52609","ENSMUSG00000053411","chromobox 7"
"659","1457035_at","Ifi207","226691","ENSMUSG00000073490","interferon activated gene 207"
"660","1447854_s_at","H2bc21","319190","ENSMUSG00000068854","H2B clustered histone 21"
"661","1435342_at","Kcnk6","52150","ENSMUSG00000046410","potassium inwardly-rectifying channel, subfamily K, member 6"
"662","1419824_a_at","Aasdh","231326","ENSMUSG00000055923","aminoadipate-semialdehyde dehydrogenase"
"663","1451910_a_at","Cd6","12511","ENSMUSG00000024670","CD6 antigen"
"664","1428911_at","Ttll4","67534","ENSMUSG00000033257","tubulin tyrosine ligase-like family, member 4"
"665","1454843_at","Prps2","110639","ENSMUSG00000025742","phosphoribosyl pyrophosphate synthetase 2"
"666","1433590_at","Herc3","73998","ENSMUSG00000029804","hect domain and RLD 3"
"667","1437540_at","Mcoln3","171166","ENSMUSG00000036853","mucolipin 3"
"668","1458802_at","Hivep3","16656","ENSMUSG00000028634","human immunodeficiency virus type I enhancer binding protein 3"
"669","1435959_at","Arhgap15","76117","ENSMUSG00000049744","Rho GTPase activating protein 15"
"670","1422041_at","Pilrb1","170741","ENSMUSG00000066684","paired immunoglobin-like type 2 receptor beta 1"
"671","1417793_at","Irgm2","54396","ENSMUSG00000069874","immunity-related GTPase family M member 2"
"672","1424824_at","Slain1","105439","ENSMUSG00000055717","SLAIN motif family, member 1"
"673","1417300_at","Smpdl3b","100340","ENSMUSG00000028885","sphingomyelin phosphodiesterase, acid-like 3B"
"674","1418797_at","Ms4a8a","64381","ENSMUSG00000024730","membrane-spanning 4-domains, subfamily A, member 8A"
"675","1428725_at","Pias2","17344","ENSMUSG00000025423","protein inhibitor of activated STAT 2"
"676","1435664_at","Zfp397","69256","ENSMUSG00000024276","zinc finger protein 397"
"677","1450024_at","Sufu","24069","ENSMUSG00000025231","SUFU negative regulator of hedgehog signaling"
"678","1455214_at","Mitf","17342","ENSMUSG00000035158","melanogenesis associated transcription factor"
"679","1429123_at","Rab27a","11891","ENSMUSG00000032202","RAB27A, member RAS oncogene family"
"680","1423323_at","Tacstd2","56753","ENSMUSG00000051397","tumor-associated calcium signal transducer 2"
"681","1423706_a_at","Pgd","110208","ENSMUSG00000028961","phosphogluconate dehydrogenase"
"682","1426473_at","Dnajc9","108671","ENSMUSG00000021811","DnaJ heat shock protein family (Hsp40) member C9"
"683","1434418_at","Cers6","241447","ENSMUSG00000027035","ceramide synthase 6"
"684","1421816_at","Gsr","14782","ENSMUSG00000031584","glutathione reductase"
"685","1460249_at","Lnx2","140887","ENSMUSG00000016520","ligand of numb-protein X 2"
"686","1436034_at","Cep68","216543","ENSMUSG00000044066","centrosomal protein 68"
"687","1448380_at","Lgals3bp","19039","ENSMUSG00000033880","lectin, galactoside-binding, soluble, 3 binding protein"
"688","1416697_at","Dpp4","13482","ENSMUSG00000035000","dipeptidylpeptidase 4"
"689","1448619_at","Dhcr7","13360","ENSMUSG00000058454","7-dehydrocholesterol reductase"
"690","1460669_at","Ilf3","16201","ENSMUSG00000032178","interleukin enhancer binding factor 3"
"691","1418231_at","Lims1","110829","ENSMUSG00000019920","LIM and senescent cell antigen-like domains 1"
"692","1456887_at","Cmklr1","14747","ENSMUSG00000042190","chemerin chemokine-like receptor 1"
"693","1429220_at","Dph7","67228","ENSMUSG00000026975","diphthamine biosynethesis 7"
"694","1418640_at","Sirt1","93759","ENSMUSG00000020063","sirtuin 1"
"695","1454708_at","Ablim1","226251","ENSMUSG00000025085","actin-binding LIM protein 1"
"696","1452699_at","Mettl17","52535","ENSMUSG00000004561","methyltransferase like 17"
"697","1434372_at","AW112010","107350","ENSMUSG00000075010","expressed sequence AW112010"
"698","1434581_at","Mturn","68235","ENSMUSG00000038065","maturin, neural progenitor differentiation regulator homolog (Xenopus)"
"699","1437375_at","Rfx3","19726","ENSMUSG00000040929","regulatory factor X, 3 (influences HLA class II expression)"
"700","1441516_a_at","C130050O18Rik","319772","ENSMUSG00000044092","RIKEN cDNA C130050O18 gene"
"701","1424976_at","Rhov","228543","ENSMUSG00000034226","ras homolog family member V"
"702","1439221_s_at","Cd40","21939","ENSMUSG00000017652","CD40 antigen"
"703","1418825_at","Irgm1","15944","ENSMUSG00000046879","immunity-related GTPase family M member 1"
"704","1448706_at","Tdp2","56196","ENSMUSG00000035958","tyrosyl-DNA phosphodiesterase 2"
"705","1425128_at","B3gnt8","232984","ENSMUSG00000059479","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8"
"706","1456777_at","Mgam","232714","ENSMUSG00000068587","maltase-glucoamylase"
"707","1455695_at","St8sia1","20449","ENSMUSG00000030283","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1"
"708","1418847_at","Arg2","11847","ENSMUSG00000021125","arginase type II"
"709","1429281_at","2610008E11Rik","72128","ENSMUSG00000060301","RIKEN cDNA 2610008E11 gene"
"710","1426315_a_at","Tmem268","230279","ENSMUSG00000045917","transmembrane protein 268"
"711","1421205_at","Atm","11920","ENSMUSG00000034218","ataxia telangiectasia mutated"
"712","1421863_at","Vamp1","22317","ENSMUSG00000030337","vesicle-associated membrane protein 1"
"713","1445106_at","Gm19816","100503654",NA,"predicted gene, 19816"
"714","1417291_at","Tnfrsf1a","21937","ENSMUSG00000030341","tumor necrosis factor receptor superfamily, member 1a"
"715","1455195_at","Rps24","20088","ENSMUSG00000025290","ribosomal protein S24"
"716","1456615_a_at","Bptf","207165","ENSMUSG00000040481","bromodomain PHD finger transcription factor"
"717","1417219_s_at","Tmsb10","19240","ENSMUSG00000079523","thymosin beta 10"
"718","1418204_s_at","Aif1","11629","ENSMUSG00000024397","allograft inflammatory factor 1"
"719","1442804_at","Fgr","14191","ENSMUSG00000028874","FGR proto-oncogene, Src family tyrosine kinase"
"720","1457675_at","2510002D24Rik","72307","ENSMUSG00000071632","RIKEN cDNA 2510002D24 gene"
"721","1423975_s_at","Numa1","101706","ENSMUSG00000066306","nuclear mitotic apparatus protein 1"
"722","1423806_at","Ints4","101861","ENSMUSG00000025133","integrator complex subunit 4"
"723","1433966_x_at","Asns","27053","ENSMUSG00000029752","asparagine synthetase"
"724","1448101_s_at","Trim27","19720","ENSMUSG00000021326","tripartite motif-containing 27"
"725","1434447_at","Met","17295","ENSMUSG00000009376","met proto-oncogene"
"726","1416958_at","Nr1d2","353187","ENSMUSG00000021775","nuclear receptor subfamily 1, group D, member 2"
"727","1419063_at","Ugt8a","22239","ENSMUSG00000032854","UDP galactosyltransferase 8A"
"728","1416210_at","Imp3","102462","ENSMUSG00000032288","IMP3, U3 small nucleolar ribonucleoprotein"
"729","1424915_s_at","Cipc","217732","ENSMUSG00000034157","CLOCK interacting protein, circadian"
"730","1453175_at","Zbtb25","109929","ENSMUSG00000056459","zinc finger and BTB domain containing 25"
"731","1454882_at","L3mbtl3","237339","ENSMUSG00000039089","L3MBTL3 histone methyl-lysine binding protein"
"732","1453915_a_at","Slc37a3","72144","ENSMUSG00000029924","solute carrier family 37 (glycerol-3-phosphate transporter), member 3"
"733","1416289_at","Plod1","18822","ENSMUSG00000019055","procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1"
"734","1435655_at","Rpl12","269261","ENSMUSG00000038900","ribosomal protein L12"
"735","1460273_a_at","Naip2","17948","ENSMUSG00000078945","NLR family, apoptosis inhibitory protein 2"
"736","1418257_at","Slc12a7","20499","ENSMUSG00000017756","solute carrier family 12, member 7"
"737","1448200_at","Tcn2","21452","ENSMUSG00000020432","transcobalamin 2"
"738","1422497_at","Slc30a5","69048","ENSMUSG00000021629","solute carrier family 30 (zinc transporter), member 5"
"739","1454788_at","Arl4c","320982","ENSMUSG00000049866","ADP-ribosylation factor-like 4C"
"740","1418397_at","Zfp275","27081","ENSMUSG00000031365","zinc finger protein 275"
"741","1434380_at","Gbp7","229900","ENSMUSG00000040253","guanylate binding protein 7"
"742","1416740_at","Col5a1","12831","ENSMUSG00000026837","collagen, type V, alpha 1"
"743","1434935_at","Aak1","269774","ENSMUSG00000057230","AP2 associated kinase 1"
"744","1458978_at","Pax5","18507","ENSMUSG00000014030","paired box 5"
"745","1456411_at","Rccd1","269955","ENSMUSG00000038930","RCC1 domain containing 1"
"746","1435432_at","Agap1","347722","ENSMUSG00000055013","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
"747","1428562_at","Mir22hg","100042498","ENSMUSG00000085148","Mir22 host gene (non-protein coding)"
"748","1417444_at","E2f5","13559","ENSMUSG00000027552","E2F transcription factor 5"
"749","1425380_at","Rasgrp4","233046","ENSMUSG00000030589","RAS guanyl releasing protein 4"
"750","1449265_at","Casp1","12362","ENSMUSG00000025888","caspase 1"
"751","1434295_at","Rasgrp1","19419","ENSMUSG00000027347","RAS guanyl releasing protein 1"
"752","1434397_at","Zdhhc17","320150","ENSMUSG00000035798","zinc finger, DHHC domain containing 17"
"753","1458206_at","Gm30054","102631812",NA,"predicted gene, 30054"
"754","1451146_at","Zfp386","56220","ENSMUSG00000042063","zinc finger protein 386 (Kruppel-like)"
"755","1428696_at","Rftn1","76438","ENSMUSG00000039316","raftlin lipid raft linker 1"
"756","1426168_a_at","Trac","100101484",NA,"T cell receptor alpha constant"
"757","1422468_at","Ppt1","19063","ENSMUSG00000028657","palmitoyl-protein thioesterase 1"
"758","1428773_s_at","Bcor","71458","ENSMUSG00000040363","BCL6 interacting corepressor"
"759","1443609_s_at","Syvn1","74126","ENSMUSG00000024807","synovial apoptosis inhibitor 1, synoviolin"
"760","1438802_at","Foxp1","108655","ENSMUSG00000030067","forkhead box P1"
"761","1460204_at","Tec","21682","ENSMUSG00000029217","tec protein tyrosine kinase"
"762","1435397_at","Zbtb44","235132","ENSMUSG00000047412","zinc finger and BTB domain containing 44"
"763","1429428_at","Tcf7l2","21416","ENSMUSG00000024985","transcription factor 7 like 2, T cell specific, HMG box"
"764","1428669_at","Bmyc","107771","ENSMUSG00000049086","brain expressed myelocytomatosis oncogene"
"765","1415897_a_at","Mgst1","56615","ENSMUSG00000008540","microsomal glutathione S-transferase 1"
"766","1423746_at","Txndc5","105245","ENSMUSG00000038991","thioredoxin domain containing 5"
"767","1428517_at","Wdfy3","72145","ENSMUSG00000043940","WD repeat and FYVE domain containing 3"
"768","1417138_s_at","Polr2e","66420","ENSMUSG00000004667","polymerase (RNA) II (DNA directed) polypeptide E"
"769","1416527_at","Rab32","67844","ENSMUSG00000019832","RAB32, member RAS oncogene family"
"770","1439323_a_at","Map4k1","26411","ENSMUSG00000037337","mitogen-activated protein kinase kinase kinase kinase 1"
"771","1417111_at","Man1a","17155","ENSMUSG00000003746","mannosidase 1, alpha"
"772","1418201_at","Plekhg2","101497","ENSMUSG00000037552","pleckstrin homology domain containing, family G (with RhoGef domain) member 2"
"773","1449937_at","Endou","19011","ENSMUSG00000022468","endonuclease, polyU-specific"
"774","1425058_at","Zfp472","224691","ENSMUSG00000053600","zinc finger protein 472"
"775","1419212_at","Icosl","50723","ENSMUSG00000000732","icos ligand"
"776","1434572_at","Hdac9","79221","ENSMUSG00000004698","histone deacetylase 9"
"777","1416414_at","Emilin1","100952","ENSMUSG00000029163","elastin microfibril interfacer 1"
"778","1430986_at","Farsb","23874","ENSMUSG00000026245","phenylalanyl-tRNA synthetase, beta subunit"
"779","1422978_at","Cybb","13058","ENSMUSG00000015340","cytochrome b-245, beta polypeptide"
"780","1417883_at","Gstt2","14872","ENSMUSG00000033318","glutathione S-transferase, theta 2"
"781","1422166_at","Clec2i","93675","ENSMUSG00000030365","C-type lectin domain family 2, member i"
"782","1438687_at","Lax1","240754","ENSMUSG00000051998","lymphocyte transmembrane adaptor 1"
"783","1453196_a_at","Oasl2","23962","ENSMUSG00000029561","2'-5' oligoadenylate synthetase-like 2"
"784","1453485_s_at","Mettl23","74319","ENSMUSG00000090266","methyltransferase like 23"
"785","1424508_at","Ttc5","219022","ENSMUSG00000006288","tetratricopeptide repeat domain 5"
"786","1423962_at","Wdr26","226757","ENSMUSG00000038733","WD repeat domain 26"
"787","1450403_at","Stat2","20847","ENSMUSG00000040033","signal transducer and activator of transcription 2"
"788","1430570_at","Kynu","70789","ENSMUSG00000026866","kynureninase"
"789","1455555_at","Vipr1","22354","ENSMUSG00000032528","vasoactive intestinal peptide receptor 1"
"790","1451243_at","Rnpep","215615","ENSMUSG00000041926","arginyl aminopeptidase (aminopeptidase B)"
"791","1416766_at","Mtarc2","67247","ENSMUSG00000073481","mitochondrial amidoxime reducing component 2"
"792","1449283_a_at","Mapk12","29857","ENSMUSG00000022610","mitogen-activated protein kinase 12"
"793","1434888_a_at","Matr3","17184","ENSMUSG00000037236","matrin 3"
"794","1457566_at","Zfp677","210503","ENSMUSG00000062743","zinc finger protein 677"
"795","1426628_at","Tmem184c","234463","ENSMUSG00000031617","transmembrane protein 184C"
"796","1419722_at","Klk8","259277","ENSMUSG00000064023","kallikrein related-peptidase 8"
"797","1457781_at","Kcnq1ot1","63830","ENSMUSG00000101609","KCNQ1 overlapping transcript 1"
"798","1429055_at","Shtn1","71653","ENSMUSG00000041362","shootin 1"
"799","1451962_at","Igkv6-20","108024","ENSMUSG00000076587","immunoglobulin kappa variable 6-20"
"800","1417141_at","Igtp","16145","ENSMUSG00000078853","interferon gamma induced GTPase"
"801","1435351_at","Bend5","67621","ENSMUSG00000028545","BEN domain containing 5"
"802","1426002_a_at","Cdc7","12545","ENSMUSG00000029283","cell division cycle 7"
"803","1428837_at","Klhl14","225266","ENSMUSG00000042514","kelch-like 14"
"804","1451015_at","Tkt","21881","ENSMUSG00000021957","transketolase"
"805","1417160_s_at","Wfdc18","14038","ENSMUSG00000000983","WAP four-disulfide core domain 18"
"806","1434487_at","Mef2d","17261","ENSMUSG00000001419","myocyte enhancer factor 2D"
"807","1417928_at","Pdlim4","30794","ENSMUSG00000020388","PDZ and LIM domain 4"
"808","1416939_at","Ppa1","67895","ENSMUSG00000020089","pyrophosphatase (inorganic) 1"
"809","1441960_x_at","Tpgs2","66648","ENSMUSG00000024269","tubulin polyglutamylase complex subunit 2"
"810","1437828_s_at","Wdr46","57315","ENSMUSG00000024312","WD repeat domain 46"
"811","1440770_at","Bcl2","12043","ENSMUSG00000057329","B cell leukemia/lymphoma 2"
"812","1425193_at","Sppl2a","66552","ENSMUSG00000027366","signal peptide peptidase like 2A"
"813","1418772_at","Tasor2","105203","ENSMUSG00000033799","transcription activation suppressor family member 2"
"814","1451721_a_at","H2-Ab1","14961","ENSMUSG00000073421","histocompatibility 2, class II antigen A, beta 1"
"815","1418794_at","Cds2","110911","ENSMUSG00000058793","CDP-diacylglycerol synthase 2"
