"","PROBEID","SYMBOL","ENTREZID","ENSEMBL","GENENAME"
"494","1428512_at","Bhlhb9","70237","ENSMUSG00000072964","basic helix-loop-helix domain containing, class B9"
"495","1447854_s_at","H2bc21","319190","ENSMUSG00000068854","H2B clustered histone 21"
"496","1419212_at","Icosl","50723","ENSMUSG00000000732","icos ligand"
"497","1436034_at","Cep68","216543","ENSMUSG00000044066","centrosomal protein 68"
"498","1456061_at","Gimap8","243374","ENSMUSG00000064262","GTPase, IMAP family member 8"
"499","1428968_at","Cep57","74360","ENSMUSG00000031922","centrosomal protein 57"
"500","1427765_a_at","Trbv14","100124678","ENSMUSG00000076471","T cell receptor beta, variable 14"
"501","1452431_s_at","H2-Aa","14960","ENSMUSG00000036594","histocompatibility 2, class II antigen A, alpha"
"502","1428853_at","Ptch1","19206","ENSMUSG00000021466","patched 1"
"503","1433649_at","Kdm1b","218214","ENSMUSG00000038080","lysine (K)-specific demethylase 1B"
"504","1453271_at","Phf14","75725","ENSMUSG00000029629","PHD finger protein 14"
"505","1437395_at","Tut4","230594","ENSMUSG00000034610","terminal uridylyl transferase 4"
"506","1429461_at","Ints2","70422","ENSMUSG00000018068","integrator complex subunit 2"
"507","1433648_at","Spag9","70834","ENSMUSG00000020859","sperm associated antigen 9"
"508","1428366_at","Mrgbp","73247","ENSMUSG00000027569","MRG/MORF4L binding protein"
"509","1448380_at","Lgals3bp","19039","ENSMUSG00000033880","lectin, galactoside-binding, soluble, 3 binding protein"
"510","1454967_at","Crebrf","77128","ENSMUSG00000048249","CREB3 regulatory factor"
"511","1417314_at","Cfb","14962","ENSMUSG00000090231","complement factor B"
"512","1455019_x_at","Ckap4","216197","ENSMUSG00000046841","cytoskeleton-associated protein 4"
"513","1434088_at","Zkscan17","268417","ENSMUSG00000020472","zinc finger with KRAB and SCAN domains 17"
"514","1455080_at","Ppp1r16b","228852","ENSMUSG00000037754","protein phosphatase 1, regulatory subunit 16B"
"515","1424936_a_at","Dnah8","13417","ENSMUSG00000033826","dynein, axonemal, heavy chain 8"
"516","1420407_at","Ltb4r1","16995","ENSMUSG00000046908","leukotriene B4 receptor 1"
"517","1455141_at","Tnrc6a","233833","ENSMUSG00000052707","trinucleotide repeat containing 6a"
"518","1429612_at","Eml4","78798","ENSMUSG00000032624","echinoderm microtubule associated protein like 4"
"519","1426897_at","Rcc2","108911","ENSMUSG00000040945","regulator of chromosome condensation 2"
"520","1450783_at","Ifit1","15957","ENSMUSG00000034459","interferon-induced protein with tetratricopeptide repeats 1"
"521","1448485_at","Ggt1","14598","ENSMUSG00000006345","gamma-glutamyltransferase 1"
"522","1438018_at","Hook1","77963","ENSMUSG00000028572","hook microtubule tethering protein 1"
"523","1447541_s_at","Itgae","16407","ENSMUSG00000005947","integrin alpha E, epithelial-associated"
"524","1448709_at","Arid1a","93760","ENSMUSG00000007880","AT-rich interaction domain 1A"
"525","1436740_at","2610005L07Rik","381598","ENSMUSG00000121345","cadherin 11 pseudogene"
"526","1425495_at","Zfp62","22720","ENSMUSG00000046311","zinc finger protein 62"
"527","1426342_at","Stt3b","68292","ENSMUSG00000032437","STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae)"
"528","1433830_at","Hnrnpa2b1","53379","ENSMUSG00000004980","heterogeneous nuclear ribonucleoprotein A2/B1"
"529","1416008_at","Satb1","20230","ENSMUSG00000023927","special AT-rich sequence binding protein 1"
"530","1460542_s_at","Mdm4","17248","ENSMUSG00000054387","transformed mouse 3T3 cell double minute 4"
"531","1440770_at","Bcl2","12043","ENSMUSG00000057329","B cell leukemia/lymphoma 2"
"532","1421923_at","Sh3bp5","24056","ENSMUSG00000021892","SH3-domain binding protein 5 (BTK-associated)"
"533","1417219_s_at","Tmsb10","19240","ENSMUSG00000079523","thymosin beta 10"
"534","1429570_at","Mlkl","74568","ENSMUSG00000012519","mixed lineage kinase domain-like"
"535","1448568_a_at","Slc20a1","20515","ENSMUSG00000027397","solute carrier family 20, member 1"
"536","1430612_at","Mcemp1","69189","ENSMUSG00000013974","mast cell expressed membrane protein 1"
"537","1417933_at","Igfbp6","16012","ENSMUSG00000023046","insulin-like growth factor binding protein 6"
"538","1426907_s_at","Dhx57","106794","ENSMUSG00000035051","DExH-box helicase 57"
"539","1420965_a_at","Enc1","13803","ENSMUSG00000041773","ectodermal-neural cortex 1"
"540","1438211_s_at","Dbp","13170","ENSMUSG00000059824","D site albumin promoter binding protein"
"541","1418183_a_at","Cyth1","19157","ENSMUSG00000017132","cytohesin 1"
"542","1454980_at","Pdpr","319518","ENSMUSG00000033624","pyruvate dehydrogenase phosphatase regulatory subunit"
"543","1433537_at","Atrx","22589","ENSMUSG00000031229","ATRX, chromatin remodeler"
"544","1450484_a_at","Cmpk2","22169","ENSMUSG00000020638","cytidine/uridine monophosphate kinase 2"
"545","1416799_at","Trpm7","58800","ENSMUSG00000027365","transient receptor potential cation channel, subfamily M, member 7"
"546","1417688_at","Fam20c","80752","ENSMUSG00000025854","FAM20C, golgi associated secretory pathway kinase"
"547","1418007_at","Paxbp1","67367","ENSMUSG00000022974","PAX3 and PAX7 binding protein 1"
"548","1447788_s_at","Tspyl3","241732","ENSMUSG00000074671","TSPY-like 3"
"549","1452785_at","Timm21","67105","ENSMUSG00000024645","translocase of inner mitochondrial membrane 21"
"550","1438097_at","Rab20","19332","ENSMUSG00000031504","RAB20, member RAS oncogene family"
"551","1456887_at","Cmklr1","14747","ENSMUSG00000042190","chemerin chemokine-like receptor 1"
"552","1426894_s_at","Eeig1","98952","ENSMUSG00000039157","estrogen-induced osteoclastogenesis regulator 1"
"553","1427241_at","Papolg","216578","ENSMUSG00000020273","poly(A) polymerase gamma"
"554","1429194_at","Tigd2","68140","ENSMUSG00000049232","tigger transposable element derived 2"
"555","1437632_at","Med14","26896","ENSMUSG00000064127","mediator complex subunit 14"
"556","1426002_a_at","Cdc7","12545","ENSMUSG00000029283","cell division cycle 7"
"557","1424335_at","Ppcdc","66812","ENSMUSG00000063849","phosphopantothenoylcysteine decarboxylase"
"558","1453851_a_at","Gadd45g","23882","ENSMUSG00000021453","growth arrest and DNA-damage-inducible 45 gamma"
"559","1417364_at","Eef1g","67160","ENSMUSG00000071644","eukaryotic translation elongation factor 1 gamma"
"560","1422497_at","Slc30a5","69048","ENSMUSG00000021629","solute carrier family 30 (zinc transporter), member 5"
"561","1426775_s_at","Scamp1","107767","ENSMUSG00000021687","secretory carrier membrane protein 1"
"562","1456038_at","Fbxl4","269514","ENSMUSG00000040410","F-box and leucine-rich repeat protein 4"
"563","1452221_a_at","Cxxc1","74322","ENSMUSG00000024560","CXXC finger protein 1"
"564","1455695_at","St8sia1","20449","ENSMUSG00000030283","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1"
"565","1448733_at","Bmi1","12151","ENSMUSG00000026739","Bmi1 polycomb ring finger oncogene"
"566","1455728_at","Pten","19211","ENSMUSG00000013663","phosphatase and tensin homolog"
"567","1423754_at","Ifitm3","66141","ENSMUSG00000025492","interferon induced transmembrane protein 3"
"568","1452373_at","Kansl1","76719","ENSMUSG00000018412","KAT8 regulatory NSL complex subunit 1"
"569","1427064_a_at","Scrib","105782","ENSMUSG00000022568","scribbled planar cell polarity"
"570","1416329_at","Cyfip1","20430","ENSMUSG00000030447","cytoplasmic FMR1 interacting protein 1"
"571","1439141_at","Gpr18","110168","ENSMUSG00000050350","G protein-coupled receptor 18"
"572","1429782_at","Grcc10","14790","ENSMUSG00000072772","gene rich cluster, C10 gene"
"573","1418397_at","Zfp275","27081","ENSMUSG00000031365","zinc finger protein 275"
"574","1439768_x_at","Sema4f","20355","ENSMUSG00000000627","sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain"
"575","1417392_a_at","Slc7a7","20540","ENSMUSG00000000958","solute carrier family 7 (cationic amino acid transporter, y+ system), member 7"
"576","1423645_a_at","Ddx5","13207","ENSMUSG00000020719","DEAD box helicase 5"
"577","1418998_at","Kmo","98256","ENSMUSG00000039783","kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)"
"578","1422502_at","Parp1","11545","ENSMUSG00000026496","poly (ADP-ribose) polymerase family, member 1"
"579","1435203_at","Man2a2","140481","ENSMUSG00000038886","mannosidase 2, alpha 2"
"580","1449591_at","Casp4","12363","ENSMUSG00000033538","caspase 4, apoptosis-related cysteine peptidase"
"581","1416435_at","Ltbr","17000","ENSMUSG00000030339","lymphotoxin B receptor"
"582","1441960_x_at","Tpgs2","66648","ENSMUSG00000024269","tubulin polyglutamylase complex subunit 2"
"583","1439464_s_at","Tex10","269536","ENSMUSG00000028345","testis expressed gene 10"
"584","1452285_a_at","Eif3f","66085","ENSMUSG00000031029","eukaryotic translation initiation factor 3, subunit F"
"585","1449455_at","Hck","15162","ENSMUSG00000003283","hemopoietic cell kinase"
"586","1435174_at","Rsbn1","229675","ENSMUSG00000044098","rosbin, round spermatid basic protein 1"
"587","1454882_at","L3mbtl3","237339","ENSMUSG00000039089","L3MBTL3 histone methyl-lysine binding protein"
"588","1455530_at","Ighd","380797","ENSMUSG00000104213","immunoglobulin heavy constant delta"
"589","1451277_at","Ptgr3","225791","ENSMUSG00000049090","prostaglandin reductase 3"
"590","1418797_at","Ms4a8a","64381","ENSMUSG00000024730","membrane-spanning 4-domains, subfamily A, member 8A"
"591","1456739_x_at","Armcx2","67416","ENSMUSG00000033436","armadillo repeat containing, X-linked 2"
"592","1443609_s_at","Syvn1","74126","ENSMUSG00000024807","synovial apoptosis inhibitor 1, synoviolin"
"593","1429710_at","Styx","56291","ENSMUSG00000053205","serine/threonine/tyrosine interaction protein"
"594","1454852_at","Sp1","20683","ENSMUSG00000001280","trans-acting transcription factor 1"
"595","1459805_x_at","Dus3l","224907","ENSMUSG00000007603","dihydrouridine synthase 3 like"
"596","1418932_at","Nfil3","18030","ENSMUSG00000056749","nuclear factor, interleukin 3, regulated"
"597","1450024_at","Sufu","24069","ENSMUSG00000025231","SUFU negative regulator of hedgehog signaling"
"598","1437105_at","Kdm5a","214899","ENSMUSG00000030180","lysine demethylase 5A"
"599","1448409_at","Irag2","16970","ENSMUSG00000030263","inositol 1,4,5-triphosphate receptor associated 2"
"600","1455816_a_at","Kctd3","226823","ENSMUSG00000026608","potassium channel tetramerisation domain containing 3"
"601","1425481_at","Cnot6l","231464","ENSMUSG00000034724","CCR4-NOT transcription complex, subunit 6-like"
"602","1450065_at","Adcy7","11513","ENSMUSG00000031659","adenylate cyclase 7"
"603","1417391_a_at","Il16","16170","ENSMUSG00000001741","interleukin 16"
"604","1435391_at","Rbm33","381626","ENSMUSG00000048271","RNA binding motif protein 33"
"605","1433726_at","Relch","227446","ENSMUSG00000026319","RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing"
"606","1450938_at","Pnn","18949","ENSMUSG00000020994","pinin"
"607","1423954_at","C3","12266","ENSMUSG00000024164","complement component 3"
"608","1429413_at","Cpm","70574","ENSMUSG00000020183","carboxypeptidase M"
"609","1417585_at","Nup210","54563","ENSMUSG00000030091","nucleoporin 210"
"610","1435149_at","Plcg1","18803","ENSMUSG00000016933","phospholipase C, gamma 1"
"611","1460597_at","Asxl2","75302","ENSMUSG00000037486","ASXL transcriptional regulator 2"
"612","1428768_at","Pan3","72587","ENSMUSG00000029647","PAN3 poly(A) specific ribonuclease subunit"
"613","1426762_s_at","Kdm1a","99982","ENSMUSG00000036940","lysine (K)-specific demethylase 1A"
"614","1435798_a_at","Sugp2","234373","ENSMUSG00000036054","SURP and G patch domain containing 2"
"615","1437540_at","Mcoln3","171166","ENSMUSG00000036853","mucolipin 3"
"616","1426124_a_at","Clk1","12747","ENSMUSG00000026034","CDC-like kinase 1"
"617","1435655_at","Rpl12","269261","ENSMUSG00000038900","ribosomal protein L12"
"618","1427902_at","Srrm2","75956","ENSMUSG00000039218","serine/arginine repetitive matrix 2"
"619","1417741_at","Pygl","110095","ENSMUSG00000021069","liver glycogen phosphorylase"
"620","1421410_a_at","Pstpip2","19201","ENSMUSG00000025429","proline-serine-threonine phosphatase-interacting protein 2"
"621","1434084_at","Zfp266","77519","ENSMUSG00000060510","zinc finger protein 266"
"622","1435375_at","Otulinl","223433","ENSMUSG00000056069","OTU deubiquitinase with linear linkage specificity like"
"623","1427164_at","Il13ra1","16164","ENSMUSG00000017057","interleukin 13 receptor, alpha 1"
"624","1438000_x_at","Zfp622","52521","ENSMUSG00000052253","zinc finger protein 622"
"625","1425580_a_at","Pik3c3","225326","ENSMUSG00000033628","phosphatidylinositol 3-kinase catalytic subunit type 3"
"626","1451234_at","Fam193b","212483","ENSMUSG00000021495","family with sequence similarity 193, member B"
"627","1427384_at","Chd6","71389","ENSMUSG00000057133","chromodomain helicase DNA binding protein 6"
"628","1455110_at","Gabpb2","213054","ENSMUSG00000038766","GA repeat binding protein, beta 2"
"629","1429274_at","Lypd6b","71897","ENSMUSG00000026765","LY6/PLAUR domain containing 6B"
"630","1448354_at","G6pdx","14381","ENSMUSG00000031400","glucose-6-phosphate dehydrogenase X-linked"
"631","1428847_a_at","Macf1","11426","ENSMUSG00000028649","microtubule-actin crosslinking factor 1"
"632","1451673_at","Cd8a","12525","ENSMUSG00000053977","CD8 subunit alpha"
"633","1428837_at","Klhl14","225266","ENSMUSG00000042514","kelch-like 14"
"634","1416958_at","Nr1d2","353187","ENSMUSG00000021775","nuclear receptor subfamily 1, group D, member 2"
"635","1426816_at","Bicdl1","75665","ENSMUSG00000041609","BICD family like cargo adaptor 1"
"636","1454658_at","Ilvbl","216136","ENSMUSG00000032763","ilvB (bacterial acetolactate synthase)-like"
"637","1417582_s_at","Dhodh","56749","ENSMUSG00000031730","dihydroorotate dehydrogenase"
"638","1429055_at","Shtn1","71653","ENSMUSG00000041362","shootin 1"
"639","1439200_x_at","Erdr1x","170942","ENSMUSG00000096768","erythroid differentiation regulator 1 x"
"640","1439200_x_at","Erdr1x","170942","ENSMUSG00000095562","erythroid differentiation regulator 1 x"
"641","1435291_at","Lemd3","380664","ENSMUSG00000048661","LEM domain containing 3"
"642","1426985_s_at","Fam76b","72826","ENSMUSG00000037808","family with sequence similarity 76, member B"
"643","1419657_a_at","Slc25a36","192287","ENSMUSG00000032449","solute carrier family 25, member 36"
"644","1460419_a_at","Prkcb","18751","ENSMUSG00000052889","protein kinase C, beta"
"645","1427146_at","Carns1","107239","ENSMUSG00000075289","carnosine synthase 1"
"646","1433771_at","Abhd17b","226016","ENSMUSG00000047368","abhydrolase domain containing 17B"
"647","1426476_at","Rasa1","218397","ENSMUSG00000021549","RAS p21 protein activator 1"
"648","1451798_at","Il1rn","16181","ENSMUSG00000026981","interleukin 1 receptor antagonist"
"649","1450071_at","Ash1l","192195","ENSMUSG00000028053","ASH1 like histone lysine methyltransferase"
"650","1449184_at","Pglyrp1","21946","ENSMUSG00000030413","peptidoglycan recognition protein 1"
"651","1424508_at","Ttc5","219022","ENSMUSG00000006288","tetratricopeptide repeat domain 5"
"652","1449393_at","Sh2d1a","20400","ENSMUSG00000005696","SH2 domain containing 1A"
"653","1416863_at","Abhd8","64296","ENSMUSG00000007950","abhydrolase domain containing 8"
"654","1419043_a_at","Iigp1","60440","ENSMUSG00000054072","interferon inducible GTPase 1"
"655","1448713_at","Stat4","20849","ENSMUSG00000062939","signal transducer and activator of transcription 4"
"656","1454795_at","Cobll1","319876","ENSMUSG00000034903","Cobl-like 1"
"657","1428052_a_at","Zmym1","68310","ENSMUSG00000043872","zinc finger, MYM domain containing 1"
"658","1434888_a_at","Matr3","17184","ENSMUSG00000037236","matrin 3"
"659","1417372_a_at","Peli1","67245","ENSMUSG00000020134","pellino 1"
"660","1425738_at","Igkv3-12","667914","ENSMUSG00000094117","immunoglobulin kappa variable 3-12"
"661","1417876_at","Fcgr1","14129","ENSMUSG00000015947","Fc receptor, IgG, high affinity I"
"662","1442023_at","A530030E21Rik","320731",NA,"RIKEN cDNA A530030E21 gene"
"663","1450853_at","Tle4","21888","ENSMUSG00000024642","transducin-like enhancer of split 4"
"664","1451221_at","Ice1","218333","ENSMUSG00000034525","interactor of little elongation complex ELL subunit 1"
"665","1436491_at","Gm11346","76024",NA,"X-linked lymphocyte-regulated 5 pseudogene"
"666","1456126_at","Malt1","240354","ENSMUSG00000032688","MALT1 paracaspase"
"667","1427711_a_at","Ceacam1","26365","ENSMUSG00000074272","CEA cell adhesion molecule 1"
"668","1442122_at","AI451458","102916",NA,"expressed sequence AI451458"
"669","1423543_at","Swap70","20947","ENSMUSG00000031015","SWA-70 protein"
"670","1434843_at","Togaram1","328108","ENSMUSG00000035614","TOG array regulator of axonemal microtubules 1"
"671","1429889_at","Fcmr","69169","ENSMUSG00000042474","Fc fragment of IgM receptor"
"672","1423518_at","Csk","12988","ENSMUSG00000032312","c-src tyrosine kinase"
"673","1434510_at","Papss2","23972","ENSMUSG00000024899","3'-phosphoadenosine 5'-phosphosulfate synthase 2"
"674","1424302_at","Pirb","18733","ENSMUSG00000058818","paired Ig-like receptor B"
"675","1452821_at","Tial1","21843","ENSMUSG00000030846","Tia1 cytotoxic granule-associated RNA binding protein-like 1"
"676","1427752_a_at","Trbv29","100124698","ENSMUSG00000076480","T cell receptor beta, variable 29"
"677","1456735_x_at","Pxylp1","235534","ENSMUSG00000043587","2-phosphoxylose phosphatase 1"
"678","1427127_x_at","Hspa1b","15511","ENSMUSG00000090877","heat shock protein 1B"
"679","1421000_at","Cnot4","53621","ENSMUSG00000038784","CCR4-NOT transcription complex, subunit 4"
"680","1418257_at","Slc12a7","20499","ENSMUSG00000017756","solute carrier family 12, member 7"
"681","1421144_at","Rpgrip1","77945","ENSMUSG00000057132","retinitis pigmentosa GTPase regulator interacting protein 1"
"682","1417074_at","Ceacam10","26366","ENSMUSG00000054169","CEA cell adhesion molecule 10"
"683","1433530_at","Rpl41","67945","ENSMUSG00000093674","ribosomal protein L41"
"684","1416731_at","Top2b","21974","ENSMUSG00000017485","topoisomerase (DNA) II beta"
"685","1434655_at","Foxk1","17425","ENSMUSG00000056493","forkhead box K1"
"686","1429201_at","Cyld","74256","ENSMUSG00000036712","CYLD lysine 63 deubiquitinase"
"687","1426961_at","Phf20","228829","ENSMUSG00000038116","PHD finger protein 20"
"688","1460249_at","Lnx2","140887","ENSMUSG00000016520","ligand of numb-protein X 2"
"689","1423126_at","Atp1b3","11933","ENSMUSG00000032412","ATPase, Na+/K+ transporting, beta 3 polypeptide"
"690","1438802_at","Foxp1","108655","ENSMUSG00000030067","forkhead box P1"
"691","1448221_at","Ddx39b","53817","ENSMUSG00000019432","DEAD box helicase 39b"
"692","1421052_a_at","Sms","20603","ENSMUSG00000071708","spermine synthase"
"693","1451125_at","Paip2b","232164","ENSMUSG00000045896","poly(A) binding protein interacting protein 2B"
"694","1451363_a_at","Dennd2d","72121","ENSMUSG00000027901","DENN domain containing 2D"
"695","1433784_at","Zfp871","208292","ENSMUSG00000024298","zinc finger protein 871"
"696","1434836_at","Nfatc2ip","18020","ENSMUSG00000030722","nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2 interacting protein"
"697","1452960_at","Scyl3","240880","ENSMUSG00000026584","SCY1-like 3 (S. cerevisiae)"
"698","1436919_at","Trp53i11","277414","ENSMUSG00000068735","transformation related protein 53 inducible protein 11"
"699","1428207_at","Bcl7a","77045","ENSMUSG00000029438","B cell CLL/lymphoma 7A"
"700","1434296_at","Zfp961","234413","ENSMUSG00000052446","zinc finger protein 961"
"701","1430154_at","Vps13a","271564","ENSMUSG00000046230","vacuolar protein sorting 13A"
"702","1426810_at","Kdm3a","104263","ENSMUSG00000053470","lysine (K)-specific demethylase 3A"
"703","1426397_at","Tgfbr2","21813","ENSMUSG00000032440","transforming growth factor, beta receptor II"
"704","1437525_a_at","Polr3a","218832","ENSMUSG00000025280","polymerase (RNA) III (DNA directed) polypeptide A"
"705","1417646_a_at","Snx5","69178","ENSMUSG00000027423","sorting nexin 5"
"706","1444107_at","Mideas","238317","ENSMUSG00000042507","mitotic deacetylase associated SANT domain protein"
"707","1434746_at","Mga","29808","ENSMUSG00000033943","MAX gene associated"
"708","1440818_s_at","Sf3b1","81898","ENSMUSG00000025982","splicing factor 3b, subunit 1"
"709","1422892_s_at","H2-Ea","100504404","ENSMUSG00000036322","histocompatibility 2, class II antigen E alpha"
"710","1434675_at","Zfp763","73451","ENSMUSG00000067430","zinc finger protein 763"
"711","1451965_at","LOC672450","672450",NA,"V(kappa) gene product"
"712","1455345_at","Jade2","76901","ENSMUSG00000020387","jade family PHD finger 2"
"713","1443771_x_at","Smad7","17131","ENSMUSG00000025880","SMAD family member 7"
"714","1416892_s_at","Fam107b","66540","ENSMUSG00000026655","family with sequence similarity 107, member B"
"715","1437041_at","Pnisr","66625","ENSMUSG00000028248","PNN interacting serine/arginine-rich"
"716","1418751_at","Sit1","54390","ENSMUSG00000028460","suppression inducing transmembrane adaptor 1"
"717","1438687_at","Lax1","240754","ENSMUSG00000051998","lymphocyte transmembrane adaptor 1"
"718","1434284_at","Bdp1","544971","ENSMUSG00000049658","B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB"
"719","1439323_a_at","Map4k1","26411","ENSMUSG00000037337","mitogen-activated protein kinase kinase kinase kinase 1"
"720","1448747_at","Fbxo32","67731","ENSMUSG00000022358","F-box protein 32"
"721","1419603_at","Ifi204","15951","ENSMUSG00000073489","interferon activated gene 204"
"722","1417540_at","Elf1","13709","ENSMUSG00000036461","E74 like ETS transcription factor 1"
"723","1423375_at","Cir1","66935","ENSMUSG00000041777","corepressor interacting with RBPJ, 1"
"724","1425519_a_at","Cd74","16149","ENSMUSG00000024610","CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)"
"725","1434762_at","Orai2","269717","ENSMUSG00000039747","ORAI calcium release-activated calcium modulator 2"
"726","1423803_s_at","Nop53","68077","ENSMUSG00000041560","NOP53 ribosome biogenesis factor"
"727","1455370_at","A630023P12Rik","231603","ENSMUSG00000048215","RIKEN cDNA A630023P12 gene"
"728","1428242_at","Arhgap45","70719","ENSMUSG00000035697","Rho GTPase activating protein 45"
"729","1425225_at","Fcgr4","246256","ENSMUSG00000059089","Fc receptor, IgG, low affinity IV"
"730","1448212_at","Psmg2","107047","ENSMUSG00000024537","proteasome (prosome, macropain) assembly chaperone 2"
"731","1418930_at","Cxcl10","15945","ENSMUSG00000034855","C-X-C motif chemokine ligand 10"
"732","1455958_s_at","Pptc7","320717","ENSMUSG00000038582","PTC7 protein phosphatase homolog"
"733","1437985_a_at","2310061I04Rik","69662","ENSMUSG00000050705","RIKEN cDNA 2310061I04 gene"
"734","1433624_at","Prrc2b","227723","ENSMUSG00000039262","proline-rich coiled-coil 2B"
"735","1426900_at","Jmjd1c","108829","ENSMUSG00000037876","jumonji domain containing 1C"
"736","1417409_at","Jun","16476","ENSMUSG00000052684","jun proto-oncogene"
"737","1454775_at","Hdac10","170787","ENSMUSG00000062906","histone deacetylase 10"
"738","1425245_a_at","Rgs11","50782","ENSMUSG00000024186","regulator of G-protein signaling 11"
"739","1435517_x_at","Ralb","64143","ENSMUSG00000004451","v-ral simian leukemia viral oncogene B"
"740","1434572_at","Hdac9","79221","ENSMUSG00000004698","histone deacetylase 9"
"741","1437236_a_at","Zfp110","65020","ENSMUSG00000058638","zinc finger protein 110"
"742","1436040_at","Snhg12","100039864","ENSMUSG00000086290","small nucleolar RNA host gene 12"
"743","1424683_at","Retreg1","66270","ENSMUSG00000022270","reticulophagy regulator 1"
"744","1457566_at","Zfp677","210503","ENSMUSG00000062743","zinc finger protein 677"
"745","1421127_at","Tmem42","66079","ENSMUSG00000066233","transmembrane protein 42"
"746","1455899_x_at","Socs3","12702","ENSMUSG00000053113","suppressor of cytokine signaling 3"
"747","1423534_at","Pdcd2","18567","ENSMUSG00000014771","programmed cell death 2"
"748","1436540_at","Mirlet7d","387247","ENSMUSG00000065453","microRNA let7d"
"749","1454897_at","Slc9a7","236727","ENSMUSG00000037341","solute carrier family 9 (sodium/hydrogen exchanger), member 7"
"750","1419609_at","Ccr1","12768","ENSMUSG00000025804","C-C motif chemokine receptor 1"
"751","1437828_s_at","Wdr46","57315","ENSMUSG00000024312","WD repeat domain 46"
"752","1419091_a_at","Anxa2","12306","ENSMUSG00000032231","annexin A2"
"753","1415936_at","Bcar3","29815","ENSMUSG00000028121","breast cancer anti-estrogen resistance 3"
"754","1436217_at","Zfp148","22661","ENSMUSG00000022811","zinc finger protein 148"
"755","1451426_at","Dhx58","80861","ENSMUSG00000017830","DExH-box helicase 58"
"756","1434113_a_at","Rexo4","227656","ENSMUSG00000052406","REX4, 3'-5' exonuclease"
"757","1415869_a_at","Trim28","21849","ENSMUSG00000005566","tripartite motif-containing 28"
"758","1425895_a_at","Id1","15901","ENSMUSG00000042745","inhibitor of DNA binding 1, HLH protein"
"759","1459800_s_at","Map3k4","26407","ENSMUSG00000014426","mitogen-activated protein kinase kinase kinase 4"
"760","1418288_at","Lpin1","14245","ENSMUSG00000020593","lipin 1"
"761","1438429_at","2610319H10Rik","72505",NA,"RIKEN cDNA 2610319H10 gene"
"762","1416654_at","Slc31a2","20530","ENSMUSG00000066152","solute carrier family 31, member 2"
"763","1424510_at","Nudt6","229228","ENSMUSG00000050174","nudix hydrolase 6"
"764","1443698_at","Xaf1","327959","ENSMUSG00000040483","XIAP associated factor 1"
"765","1428539_at","Smg1","233789","ENSMUSG00000030655","SMG1 nonsense mediated mRNA decay associated PI3K related kinase"
"766","1433497_at","Aqr","11834","ENSMUSG00000040383","aquarius"
"767","1435465_at","Kbtbd11","74901","ENSMUSG00000055675","kelch repeat and BTB (POZ) domain containing 11"
"768","1421904_at","Tgs1","116940","ENSMUSG00000028233","trimethylguanosine synthase 1"
"769","1449163_at","Sigirr","24058","ENSMUSG00000025494","single immunoglobulin and toll-interleukin 1 receptor (TIR) domain"
"770","1448760_at","Zfp68","24135","ENSMUSG00000058291","zinc finger protein 68"
"771","1419273_at","Uri1","19777","ENSMUSG00000030421","URI1, prefoldin-like chaperone"
"772","1428510_at","Adgrl1","330814","ENSMUSG00000013033","adhesion G protein-coupled receptor L1"
"773","1453864_at","Rdh14","105014","ENSMUSG00000020621","retinol dehydrogenase 14 (all-trans and 9-cis)"
"774","1433597_at","Arglu1","234023","ENSMUSG00000040459","arginine and glutamate rich 1"
"775","1438809_at","Atp5f1c","11949","ENSMUSG00000025781","ATP synthase F1 subunit gamma"
"776","1436699_x_at","Rpl18","19899","ENSMUSG00000059070","ribosomal protein L18"
"777","1451716_at","Mafb","16658","ENSMUSG00000074622","MAF bZIP transcription factor B"
"778","1434842_s_at","Upf3b","68134","ENSMUSG00000036572","UPF3 regulator of nonsense transcripts homolog B (yeast)"
"779","1453939_x_at","Gm9706","677168",NA,"predicted gene 9706"
"780","1448710_at","Cxcr4","12767","ENSMUSG00000045382","C-X-C motif chemokine receptor 4"
"781","1447999_x_at","Gapdh","14433","ENSMUSG00000057666","glyceraldehyde-3-phosphate dehydrogenase"
"782","1460329_at","B4galt6","56386","ENSMUSG00000056124","UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6"
"783","1428172_at","Prpf39","328110","ENSMUSG00000035597","pre-mRNA processing factor 39"
"784","1431050_at","Rps6ka5","73086","ENSMUSG00000021180","ribosomal protein S6 kinase, polypeptide 5"
"785","1430986_at","Farsb","23874","ENSMUSG00000026245","phenylalanyl-tRNA synthetase, beta subunit"
"786","1418206_at","Sdf2l1","64136","ENSMUSG00000022769","stromal cell-derived factor 2-like 1"
"787","1427568_a_at","Ift80","68259","ENSMUSG00000027778","intraflagellar transport 80"
"788","1452222_at","Utrn","22288","ENSMUSG00000019820","utrophin"
"789","1421205_at","Atm","11920","ENSMUSG00000034218","ataxia telangiectasia mutated"
